,pred,counts,frac
712,A107C,63,0.20192307692307693
713,A124C,74,0.23717948717948717
714,A78C,92,0.2948717948717949
715,S42C,83,0.266025641025641
716,A107C,57,0.18269230769230768
717,A124C,80,0.2564102564102564
718,A78C,90,0.28846153846153844
719,S42C,85,0.2724358974358974
720,A107C,65,0.20833333333333334
721,A124C,99,0.3173076923076923
722,A78C,77,0.2467948717948718
723,S42C,71,0.22756410256410256
724,A107C,63,0.20192307692307693
725,A124C,78,0.25
726,A78C,89,0.28525641025641024
727,S42C,82,0.26282051282051283
728,A107C,58,0.1858974358974359
729,A124C,87,0.27884615384615385
730,A78C,91,0.2916666666666667
731,S42C,76,0.24358974358974358
732,A107C,50,0.16025641025641027
733,A124C,98,0.3141025641025641
734,A78C,72,0.23076923076923078
735,S42C,92,0.2948717948717949
736,A107C,66,0.21153846153846154
737,A124C,82,0.26282051282051283
738,A78C,80,0.2564102564102564
739,S42C,84,0.2692307692307692
740,A107C,49,0.15705128205128205
741,A124C,93,0.2980769230769231
742,A78C,85,0.2724358974358974
743,S42C,85,0.2724358974358974
744,A107C,62,0.1987179487179487
745,A124C,93,0.2980769230769231
746,A78C,75,0.2403846153846154
747,S42C,82,0.26282051282051283
748,A107C,71,0.22756410256410256
749,A124C,84,0.2692307692307692
750,A78C,93,0.2980769230769231
751,S42C,64,0.20512820512820512
752,A107C,51,0.16346153846153846
753,A124C,96,0.3076923076923077
754,A78C,82,0.26282051282051283
755,S42C,83,0.266025641025641
756,A107C,59,0.1891025641025641
757,A124C,82,0.26282051282051283
758,A78C,75,0.2403846153846154
759,S42C,96,0.3076923076923077
760,A107C,64,0.20512820512820512
761,A124C,92,0.2948717948717949
762,A78C,73,0.23397435897435898
763,S42C,83,0.266025641025641
764,A107C,55,0.1762820512820513
765,A124C,91,0.2916666666666667
766,A78C,93,0.2980769230769231
767,S42C,73,0.23397435897435898
768,A107C,62,0.1987179487179487
769,A124C,74,0.23717948717948717
770,A78C,111,0.3557692307692308
771,S42C,65,0.20833333333333334
772,A107C,48,0.15384615384615385
773,A124C,97,0.3108974358974359
774,A78C,92,0.2948717948717949
775,S42C,75,0.2403846153846154
776,A107C,59,0.1891025641025641
777,A124C,95,0.30448717948717946
778,A78C,82,0.26282051282051283
779,S42C,76,0.24358974358974358
780,A107C,75,0.2403846153846154
781,A124C,84,0.2692307692307692
782,A78C,79,0.2532051282051282
783,S42C,74,0.23717948717948717
784,A107C,53,0.16987179487179488
785,A124C,88,0.28205128205128205
786,A78C,91,0.2916666666666667
787,S42C,80,0.2564102564102564
788,A107C,68,0.21794871794871795
789,A124C,92,0.2948717948717949
790,A78C,77,0.2467948717948718
791,S42C,75,0.2403846153846154
792,A107C,60,0.19230769230769232
793,A124C,93,0.2980769230769231
794,A78C,81,0.25961538461538464
795,S42C,78,0.25
796,A107C,62,0.1987179487179487
797,A124C,89,0.28525641025641024
798,A78C,83,0.266025641025641
799,S42C,78,0.25
800,A107C,47,0.15064102564102563
801,A124C,93,0.2980769230769231
802,A78C,92,0.2948717948717949
803,S42C,80,0.2564102564102564
804,A107C,56,0.1794871794871795
805,A124C,81,0.25961538461538464
806,A78C,92,0.2948717948717949
807,S42C,83,0.266025641025641
808,A107C,49,0.15705128205128205
809,A124C,69,0.22115384615384615
810,A78C,101,0.32371794871794873
811,S42C,93,0.2980769230769231
812,A107C,62,0.1987179487179487
813,A124C,75,0.2403846153846154
814,A78C,92,0.2948717948717949
815,S42C,83,0.266025641025641
816,A107C,65,0.20833333333333334
817,A124C,78,0.25
818,A78C,85,0.2724358974358974
819,S42C,84,0.2692307692307692
820,A107C,53,0.16987179487179488
821,A124C,86,0.27564102564102566
822,A78C,91,0.2916666666666667
823,S42C,82,0.26282051282051283
824,A107C,67,0.21474358974358973
825,A124C,80,0.2564102564102564
826,A78C,89,0.28525641025641024
827,S42C,76,0.24358974358974358
828,A107C,60,0.19230769230769232
